,Symptoms,Conditions
2620,"[""can't cough up mucus or phlegm"", 'pounding headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match')]"
2621,"[""can't cough up mucus or phlegm"", 'dull headache']","[('Acute Sinusitis', 'Low match'), ('Influenza (flu) Adults', 'Low match'), ('Migraine Headache (adult)', 'Low match'), ('Medication Overuse Headache', 'Low match'), ('Tension Headache', 'Low match')]"
2622,"[""can't cough up mucus or phlegm"", 'migraine headache']","[('Migraine Headache (adult)', 'Fair match'), ('Medication Overuse Headache', 'Fair match'), ('Premenstrual Syndrome (PMS)', 'Fair match')]"
2623,"[""can't cough up mucus or phlegm"", 'headache, occipital']","[('Tension Headache', 'Fair match'), ('Cerebellar Hemorrhage', 'Fair match')]"
2624,"[""can't cough up mucus or phlegm"", 'repeated headaches']",[]
2625,"[""can't cough up mucus or phlegm"", 'recurring headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Medication Overuse Headache', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
2626,"[""can't cough up mucus or phlegm"", 'severe headache']","[('Acute Sinusitis', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Migraine Headache (adult)', 'Fair match'), ('Stroke', 'Fair match'), ('Cerebellar Hemorrhage', 'Fair match')]"
2627,"[""can't cough up mucus or phlegm"", 'tension headache']","[('Acute Sinusitis', 'Low match'), ('Influenza (flu) Adults', 'Low match'), ('Migraine Headache (adult)', 'Low match'), ('Medication Overuse Headache', 'Low match'), ('Tension Headache', 'Low match')]"
2628,"[""can't cough up mucus or phlegm"", 'headache with sex']","[('Stroke', 'Fair match')]"
2629,"[""can't cough up mucus or phlegm"", 'sudden severe headache']","[('Subarachnoid Hemorrhage', 'Moderate match'), ('Stroke', 'Fair match'), ('Cerebellar Hemorrhage', 'Fair match'), ('Cluster Headache', 'Fair match'), ('Influenza (flu) Adults', 'Fair match')]"
2630,"[""can't cough up mucus or phlegm"", 'headache behind ears']","[('Acute Sinusitis', 'Low match'), ('Influenza (flu) Adults', 'Low match'), ('Migraine Headache (adult)', 'Low match'), ('Medication Overuse Headache', 'Low match'), ('Tension Headache', 'Low match')]"
2631,"[""can't cough up mucus or phlegm"", 'headache on temples']","[('Acute Sinusitis', 'Low match'), ('Influenza (flu) Adults', 'Low match'), ('Migraine Headache (adult)', 'Low match'), ('Medication Overuse Headache', 'Low match'), ('Tension Headache', 'Low match')]"
2632,"[""can't cough up mucus or phlegm"", 'one sided headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Acute Sinusitis', 'Fair match')]"
2633,"[""can't cough up mucus or phlegm"", 'headache that just started']","[('Acute Sinusitis', 'Fair match'), ('Stroke', 'Fair match'), ('Pneumococcal Meningitis', 'Fair match')]"
2634,"[""can't cough up mucus or phlegm"", 'waking up with headache']","[('Sleep Apnea', 'Fair match'), ('Medication Overuse Headache', 'Fair match')]"
2635,"[""can't cough up mucus or phlegm"", 'headache in the morning']","[('Sleep Apnea', 'Fair match'), ('Medication Overuse Headache', 'Fair match')]"
2636,"[""can't cough up mucus or phlegm"", 'headache in front of head']","[('Acute Sinusitis', 'Low match'), ('Influenza (flu) Adults', 'Low match'), ('Migraine Headache (adult)', 'Low match'), ('Medication Overuse Headache', 'Low match'), ('Chronic Sinusitis', 'Low match')]"
2637,"[""can't cough up mucus or phlegm"", 'headache in back of head']","[('Tension Headache', 'Fair match'), ('Cerebellar Hemorrhage', 'Fair match')]"
2638,"['cough up stuff that smells bad', 'headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2639,"['cough up stuff that smells bad', 'new headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2640,"['cough up stuff that smells bad', 'throbbing headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2641,"['cough up stuff that smells bad', 'headache pulsating']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2642,"['cough up stuff that smells bad', 'pounding headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2643,"['cough up stuff that smells bad', 'dull headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2644,"['cough up stuff that smells bad', 'migraine headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2645,"['cough up stuff that smells bad', 'headache, occipital']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2646,"['cough up stuff that smells bad', 'repeated headaches']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2647,"['cough up stuff that smells bad', 'recurring headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2648,"['cough up stuff that smells bad', 'severe headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2649,"['cough up stuff that smells bad', 'tension headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2650,"['cough up stuff that smells bad', 'headache with sex']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2651,"['cough up stuff that smells bad', 'sudden severe headache']","[('Abscess', 'Moderate match'), ('Subarachnoid Hemorrhage', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2652,"['cough up stuff that smells bad', 'headache behind ears']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2653,"['cough up stuff that smells bad', 'headache on temples']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2654,"['cough up stuff that smells bad', 'one sided headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2655,"['cough up stuff that smells bad', 'headache that just started']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2656,"['cough up stuff that smells bad', 'waking up with headache']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2657,"['cough up stuff that smells bad', 'headache in the morning']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2658,"['cough up stuff that smells bad', 'headache in front of head']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2659,"['cough up stuff that smells bad', 'headache in back of head']","[('Abscess', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2660,"['cough up frothy or bubbly gunk', 'headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2661,"['cough up frothy or bubbly gunk', 'new headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2662,"['cough up frothy or bubbly gunk', 'throbbing headache']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2663,"['cough up frothy or bubbly gunk', 'headache pulsating']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2664,"['cough up frothy or bubbly gunk', 'pounding headache']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2665,"['cough up frothy or bubbly gunk', 'dull headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2666,"['cough up frothy or bubbly gunk', 'migraine headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2667,"['cough up frothy or bubbly gunk', 'headache, occipital']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2668,"['cough up frothy or bubbly gunk', 'repeated headaches']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2669,"['cough up frothy or bubbly gunk', 'recurring headache']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2670,"['cough up frothy or bubbly gunk', 'severe headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2671,"['cough up frothy or bubbly gunk', 'tension headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2672,"['cough up frothy or bubbly gunk', 'headache with sex']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2673,"['cough up frothy or bubbly gunk', 'sudden severe headache']","[('Pulmonary Edema', 'Moderate match'), ('Subarachnoid Hemorrhage', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
2674,"['cough up frothy or bubbly gunk', 'headache behind ears']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2675,"['cough up frothy or bubbly gunk', 'headache on temples']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2676,"['cough up frothy or bubbly gunk', 'one sided headache']","[('Pulmonary Edema', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
2677,"['cough up frothy or bubbly gunk', 'headache that just started']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
2678,"['cough up frothy or bubbly gunk', 'waking up with headache']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2679,"['cough up frothy or bubbly gunk', 'headache in the morning']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2680,"['cough up frothy or bubbly gunk', 'headache in front of head']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2681,"['cough up frothy or bubbly gunk', 'headache in back of head']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2682,"['sharp distinct sound to each cough', 'headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2683,"['sharp distinct sound to each cough', 'new headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2684,"['sharp distinct sound to each cough', 'throbbing headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
2685,"['sharp distinct sound to each cough', 'headache pulsating']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
2686,"['sharp distinct sound to each cough', 'pounding headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
2687,"['sharp distinct sound to each cough', 'dull headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2688,"['sharp distinct sound to each cough', 'migraine headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2689,"['sharp distinct sound to each cough', 'headache, occipital']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2690,"['sharp distinct sound to each cough', 'repeated headaches']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
2691,"['sharp distinct sound to each cough', 'recurring headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
2692,"['sharp distinct sound to each cough', 'severe headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2693,"['sharp distinct sound to each cough', 'tension headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2694,"['sharp distinct sound to each cough', 'headache with sex']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2695,"['sharp distinct sound to each cough', 'sudden severe headache']","[('Subarachnoid Hemorrhage', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Stroke', 'Fair match'), ('Cerebellar Hemorrhage', 'Fair match')]"
2696,"['sharp distinct sound to each cough', 'headache behind ears']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2697,"['sharp distinct sound to each cough', 'headache on temples']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2698,"['sharp distinct sound to each cough', 'one sided headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2699,"['sharp distinct sound to each cough', 'headache that just started']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2700,"['sharp distinct sound to each cough', 'waking up with headache']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2701,"['sharp distinct sound to each cough', 'headache in the morning']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2702,"['sharp distinct sound to each cough', 'headache in front of head']","[('Chronic Sinusitis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2703,"['sharp distinct sound to each cough', 'headache in back of head']","[('Acute Sinusitis', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
2704,"['coughing up a lot of blood', 'headache']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2705,"['coughing up a lot of blood', 'new headache']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2706,"['coughing up a lot of blood', 'throbbing headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
2707,"['coughing up a lot of blood', 'headache pulsating']","[('Migraine Headache (adult)', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
2708,"['coughing up a lot of blood', 'pounding headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2709,"['coughing up a lot of blood', 'dull headache']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2710,"['coughing up a lot of blood', 'migraine headache']","[('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match'), ('Migraine Headache (adult)', 'Fair match')]"
2711,"['coughing up a lot of blood', 'headache, occipital']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2712,"['coughing up a lot of blood', 'repeated headaches']","[('Migraine Headache (adult)', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
2713,"['coughing up a lot of blood', 'recurring headache']","[('Tuberculosis', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2714,"['coughing up a lot of blood', 'severe headache']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match')]"
2715,"['coughing up a lot of blood', 'tension headache']","[('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match'), ('Bronchitis', 'Fair match')]"
2716,"['coughing up a lot of blood', 'headache with sex']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2717,"['coughing up a lot of blood', 'sudden severe headache']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Subarachnoid Hemorrhage', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2718,"['coughing up a lot of blood', 'headache behind ears']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
2719,"['coughing up a lot of blood', 'headache on temples']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2720,"['coughing up a lot of blood', 'one sided headache']","[('Migraine Headache (adult)', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
2721,"['coughing up a lot of blood', 'headache that just started']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
2722,"['coughing up a lot of blood', 'waking up with headache']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
2723,"['coughing up a lot of blood', 'headache in the morning']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
2724,"['coughing up a lot of blood', 'headache in front of head']","[('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match'), ('Bronchitis', 'Fair match')]"
2725,"['coughing up a lot of blood', 'headache in back of head']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
2726,"['chronic cough (>8 weeks, normal chest xray)', 'headache']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Hay Fever', 'Moderate match'), ('Drug Allergy', 'Moderate match')]"
2727,"['chronic cough (>8 weeks, normal chest xray)', 'new headache']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Hay Fever', 'Moderate match'), ('Drug Allergy', 'Moderate match')]"
2728,"['chronic cough (>8 weeks, normal chest xray)', 'throbbing headache']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match')]"
2729,"['chronic cough (>8 weeks, normal chest xray)', 'headache pulsating']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match')]"
2730,"['chronic cough (>8 weeks, normal chest xray)', 'pounding headache']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Migraine Headache (adult)', 'Moderate match'), ('Cluster Headache', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match')]"
2731,"['chronic cough (>8 weeks, normal chest xray)', 'dull headache']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Hay Fever', 'Moderate match'), ('Drug Allergy', 'Moderate match')]"
